num_client;actif;date_inscription;A_ete_parraine;Genre;date_naissance;inscrit_NL;age_client;an_mois_inscription;client_sans_commande
ID_100338;1;03/03/2016;NON;Homme;01/01/1973;0;51;2016_03;0
ID_100414;1;04/03/2016;OUI;Homme;02/03/1969;1;55;2016_03;0
ID_100415;1;04/03/2016;OUI;Homme;11/08/1957;1;67;2016_03;0
ID_100497;1;05/03/2016;OUI;Femme;09/12/1969;0;55;2016_03;0
ID_100580;1;06/03/2016;OUI;Homme;28/11/1971;1;53;2016_03;0
ID_100855;1;12/03/2016;NON;Homme;09/07/1969;1;55;2016_03;1
ID_101053;1;13/03/2016;OUI;Femme;;1;;2016_03;0
ID_101520;1;13/03/2016;OUI;Femme;25/03/1956;1;68;2016_03;0
ID_101708;1;14/03/2016;NON;Homme;24/04/1961;0;63;2016_03;1
ID_101800;0;14/03/2016;OUI;Femme;20/02/1977;0;47;2016_03;0
ID_102018;1;17/03/2016;OUI;Femme;07/07/2009;1;15;2016_03;0
ID_102026;1;17/03/2016;OUI;Femme;22/04/1967;1;57;2016_03;1
ID_102459;1;18/03/2016;NON;Homme;14/01/1975;1;49;2016_03;0
ID_102464;1;18/03/2016;NON;Femme;23/06/1962;1;62;2016_03;0
ID_102538;1;19/03/2016;OUI;Femme;09/02/1982;1;42;2016_03;0
ID_102544;1;19/03/2016;OUI;Femme;10/03/1970;1;54;2016_03;0
ID_102565;1;19/03/2016;OUI;Femme;15/09/1962;0;62;2016_03;1
ID_102605;1;19/03/2016;OUI;Femme;05/12/1973;1;51;2016_03;0
ID_102619;1;19/03/2016;OUI;Femme;08/06/1976;1;48;2016_03;0
ID_102667;1;19/03/2016;OUI;Femme;28/09/1961;1;63;2016_03;0
ID_102776;1;19/03/2016;OUI;Femme;11/02/1943;1;81;2016_03;0
ID_102825;1;19/03/2016;OUI;Femme;06/10/1978;1;46;2016_03;0
ID_102891;1;20/03/2016;NON;Femme;28/05/1944;1;80;2016_03;0
ID_102907;1;20/03/2016;OUI;Femme;09/04/1973;1;51;2016_03;0
ID_103086;1;21/03/2016;NON;Homme;30/12/1973;1;51;2016_03;0
ID_103097;1;22/03/2016;OUI;Femme;29/03/1969;1;55;2016_03;1
ID_103230;1;24/03/2016;OUI;Femme;09/08/1970;1;54;2016_03;0
ID_103298;1;25/03/2016;;Femme;31/12/2008;0;16;2016_03;0
ID_103393;1;26/03/2016;OUI;Femme;09/02/1962;1;62;2016_03;0
ID_103421;1;26/03/2016;OUI;Femme;29/12/1952;1;72;2016_03;0
ID_103446;1;26/03/2016;OUI;Femme;07/04/1970;1;54;2016_03;0
ID_103641;1;26/03/2016;OUI;Femme;23/05/1964;1;60;2016_03;0
ID_103666;1;26/03/2016;OUI;Femme;07/01/1978;1;46;2016_03;0
